,City Name,Country,Clouds,Latitude,Longitude,Date,Temperature,Humidity,Wind Speed
0,devonport,AU,0.0,-41.18,146.36,2018-10-27,283.979,68.0,1.22
1,rikitea,PF,32.0,-23.12,-134.97,2018-10-27,296.029,100.0,6.57
2,hilo,US,20.0,19.71,-155.08,2018-10-27,301.15,69.0,2.6
3,nishihara,JP,75.0,35.74,139.53,2018-10-27,290.15,67.0,2.6
4,bilma,NE,32.0,18.69,12.92,2018-10-27,297.479,29.0,2.92
5,abdulino,RU,48.0,53.68,53.66,2018-10-27,270.279,91.0,3.27
6,lebu,ET,0.0,8.96,38.73,2018-10-27,279.204,91.0,1.42
7,pevek,RU,48.0,69.7,170.27,2018-10-27,263.454,100.0,5.02
8,barra patuca,HN,88.0,15.8,-84.28,2018-10-27,300.204,96.0,3.72
9,rezekne,LV,76.0,56.5,27.32,2018-10-27,278.104,93.0,7.62
10,cape town,ZA,0.0,-33.93,18.42,2018-10-27,289.15,93.0,1.5
11,busselton,AU,0.0,-33.64,115.35,2018-10-27,288.229,100.0,4.82
12,zyryanovsk,KZ,0.0,49.74,84.27,2018-10-27,268.529,73.0,0.87
13,shambu,ET,20.0,9.57,37.1,2018-10-27,284.779,80.0,0.92
14,la ronge,CA,90.0,55.1,-105.3,2018-10-27,274.15,81.0,2.6
15,abu samrah,SY,0.0,35.3,37.18,2018-10-27,275.979,76.0,1.22
16,manzil kamil,TN,20.0,35.62,10.67,2018-10-27,295.15,83.0,5.7
17,mataura,NZ,88.0,-46.19,168.86,2018-10-27,284.404,97.0,2.57
18,tagusao,PH,8.0,9.19,117.81,2018-10-27,300.804,91.0,0.87
19,bluff,AU,0.0,-23.58,149.07,2018-10-27,305.154,45.0,2.32
20,jamestown,AU,92.0,-33.21,138.6,2018-10-27,285.529,100.0,1.72
21,victoria,BN,75.0,5.28,115.24,2018-10-27,299.15,94.0,1.5
22,saint-pierre,FR,90.0,48.95,4.24,2018-10-27,276.15,93.0,2.6
23,galich,RU,92.0,58.38,42.35,2018-10-27,272.704,92.0,4.02
24,waddan,LY,0.0,29.16,16.14,2018-10-27,293.454,54.0,3.77
25,port alfred,ZA,0.0,-33.59,26.89,2018-10-27,293.029,95.0,6.32
26,ziway,ET,0.0,7.93,38.72,2018-10-27,280.729,100.0,1.37
27,road town,VG,40.0,18.42,-64.62,2018-10-27,300.15,78.0,2.6
28,roebourne,AU,0.0,-20.77,117.15,2018-10-27,297.329,68.0,1.47
29,cherskiy,RU,76.0,68.75,161.3,2018-10-27,252.529,83.0,1.57
30,westport,IE,0.0,53.8,-9.52,2018-10-27,277.929,100.0,3.87
31,puerto ayacucho,CO,40.0,5.66,-67.63,2018-10-27,302.15,74.0,2.1
32,ponta do sol,BR,88.0,-20.63,-46.0,2018-10-27,294.229,86.0,3.97
33,punta arenas,CL,75.0,-53.16,-70.91,2018-10-27,284.15,57.0,8.7
34,ribeira grande,PT,32.0,38.52,-28.7,2018-10-27,292.704,100.0,7.82
35,qaanaaq,GL,0.0,77.48,-69.36,2018-10-27,250.829,100.0,4.47
36,albany,US,90.0,42.65,-73.75,2018-10-27,280.15,86.0,5.1
37,chekmagush,RU,20.0,55.14,54.65,2018-10-27,272.154,88.0,4.57
38,chara,GR,0.0,39.42,22.43,2018-10-27,285.15,93.0,1.22
39,arraial do cabo,BR,75.0,-22.97,-42.02,2018-10-27,296.15,94.0,1.5
40,souillac,FR,0.0,45.6,-0.6,2018-10-27,278.15,75.0,4.1
41,baturaden,ID,56.0,-7.32,109.23,2018-10-27,295.429,94.0,1.37
42,providencia,CO,40.0,1.24,-77.6,2018-10-27,291.15,82.0,0.42
43,ilulissat,GL,12.0,69.22,-51.1,2018-10-27,272.15,86.0,4.1
